x1_min,x1_max,x2_min,x2_max,y_min,y_max
22.8600,29.2100,3.1751,4.5359,12.0000,15.0000
63.5000,68.5800,22.6796,27.2155,12.0000,15.0000
58.4200,58.4200,22.6796,31.7515,11.0000,14.0000
60.9600,71.1200,31.7515,58.9670,10.0000,13.0000
58.4200,63.5000,34.0194,38.5554,10.0000,14.0000
50.8000,63.5000,27.2155,45.3592,10.0000,12.0000
58.4200,66.0400,20.4117,29.4835,11.0000,12.0000
22.8600,48.2600,2.7216,15.8757,13.0000,15.0000
53.3400,63.5000,27.2155,31.7515,11.0000,13.0000
30.4800,40.6400,5.4431,7.2575,14.0000,16.0000
53.3400,68.5800,20.4117,31.7515,12.0000,15.0000
43.1800,48.2600,18.1437,31.7515,12.0000,16.0000
38.1000,45.7200,11.3398,20.4117,10.0000,14.0000
68.5800,73.6600,36.2874,68.0389,11.0000,13.0000
48.2600,55.8800,21.7724,31.7515,12.0000,15.0000
43.1800,50.8000,15.8757,22.6796,12.0000,16.0000
43.1800,50.8000,0.0000,0.0000,10.0000,13.0000
45.7200,58.4200,18.1437,29.4835,12.0000,15.0000
43.1800,50.8000,14.5150,20.4117,12.0000,15.0000
25.4000,27.9400,6.8039,9.0718,11.0000,15.0000
59.6900,73.6600,14.9685,24.9476,12.0000,15.0000
48.2600,62.2300,15.8757,29.4835,12.0000,14.0000
40.6400,43.1800,9.9790,10.8862,13.0000,14.0000
31.7500,39.3700,12.2470,15.8757,12.0000,12.0000
38.1000,38.1000,18.1437,29.4835,12.0000,13.0000
43.1800,52.0700,16.7829,29.9371,12.0000,15.0000
33.0200,38.1000,5.8967,13.6078,10.0000,15.0000
50.8000,55.8800,20.4117,24.9476,12.0000,14.0000
60.9600,69.8500,31.7515,49.8952,10.0000,12.0000
38.1000,44.4500,7.7111,10.4326,11.0000,16.0000
55.8800,66.0400,24.9476,29.4835,10.0000,12.0000
55.8800,66.0400,18.1437,36.2874,14.0000,16.0000
55.8800,66.0400,20.4117,34.0194,12.0000,14.0000
55.8800,66.0400,20.4117,34.0194,12.0000,14.0000
55.8800,59.6900,25.8548,38.1018,13.0000,15.0000
54.6100,64.7700,22.6796,31.7515,12.0000,13.0000
58.4200,69.8500,31.7515,52.1631,7.0000,10.0000
24.1300,29.2100,5.4431,8.1647,14.0000,15.0000
17.7800,27.9400,1.8144,3.6287,16.0000,16.0000
58.4200,68.5800,29.4835,49.8952,10.0000,12.0000
66.0400,76.2000,36.2874,58.9670,10.0000,12.0000
58.4200,68.5800,36.2874,49.8952,10.0000,12.0000
53.3400,68.5800,20.4117,36.2874,11.0000,12.0000
55.8800,68.5800,68.0389,90.7185,9.0000,11.0000
49.0220,55.1180,16.7829,27.2155,12.0000,15.0000
25.4000,30.4800,2.4948,4.0823,12.0000,14.0000
45.7200,55.8800,13.6078,24.9476,12.0000,15.0000
30.4800,38.1000,5.2163,7.0307,12.0000,15.0000
66.0400,71.1200,27.2155,47.6272,9.0000,14.0000
38.1000,43.1800,5.4431,11.3398,11.0000,13.0000
59.6900,69.8500,31.7515,49.8952,10.0000,12.0000
54.6100,63.5000,6.8039,36.2874,10.0000,12.0000
35.5600,45.7200,11.3398,18.1437,10.0000,15.0000
53.3400,68.5800,24.9476,40.8233,10.0000,14.0000
48.2600,57.1500,15.8757,24.0404,10.0000,12.0000
46.9900,58.4200,18.1437,24.9476,0.0000,0.0000
55.8800,68.5800,24.9476,45.3592,12.0000,12.0000
44.4500,52.0700,13.6078,18.1437,12.0000,14.0000
69.8500,74.9300,40.8233,68.0389,8.0000,10.0000
17.7800,25.4000,3.6287,4.5359,12.0000,15.0000
53.3400,55.8800,22.6796,31.7515,12.0000,13.0000
35.5600,38.1000,18.1437,22.6796,8.0000,10.0000
60.9600,68.5800,45.3592,58.9670,7.0000,9.0000
24.1300,25.4000,5.8967,6.3503,13.0000,15.0000
48.2600,60.9600,15.8757,24.9476,12.0000,15.0000
59.6900,69.8500,0.0000,0.0000,9.0000,12.0000
26.6700,31.7500,11.3398,17.2365,12.0000,15.0000
45.0850,49.5300,13.6078,24.9476,0.0000,0.0000
55.8800,60.9600,22.6796,43.0913,10.0000,14.0000
58.4200,76.2000,44.9056,77.1107,10.0000,12.0000
30.4800,33.0200,5.8967,8.1647,12.0000,15.0000
64.7700,69.8500,39.9161,49.8952,0.0000,0.0000
25.4000,33.0200,6.3503,10.8862,12.0000,15.0000
53.3400,66.0400,24.9476,36.2874,10.0000,13.0000
12.7000,20.3200,2.7216,2.7216,14.0000,16.0000
27.9400,33.0200,3.6287,5.4431,13.0000,18.0000
45.7200,50.8000,20.4117,27.2155,8.0000,12.0000
55.8800,66.0400,22.6796,40.8233,12.0000,15.0000
43.1800,50.8000,20.4117,31.7515,8.0000,12.0000
41.9100,49.5300,7.7111,11.7934,12.0000,14.0000
43.1800,50.8000,24.9476,38.5554,10.0000,12.0000
34.2900,39.3700,9.0718,13.6078,10.0000,14.0000
55.8800,66.0400,22.6796,34.0194,12.0000,14.0000
22.8600,27.9400,3.6287,6.8039,15.0000,19.0000
40.6400,50.8000,13.1542,19.9581,13.0000,14.0000
58.4200,68.5800,27.2155,43.0913,10.0000,12.0000
59.6900,64.7700,19.9581,25.8548,10.0000,15.0000
12.7000,22.8600,4.9895,14.5150,12.0000,16.0000
48.2600,60.9600,20.4117,31.7515,11.0000,13.0000
20.3200,27.9400,8.1647,10.8862,12.0000,15.0000
31.7500,36.8300,6.8039,9.0718,11.0000,13.0000
45.7200,53.3400,18.1437,24.9476,12.0000,14.0000
60.9600,71.1200,27.2155,45.3592,10.0000,12.0000
60.9600,67.3100,39.9161,45.3592,9.0000,15.0000
58.4200,66.0400,44.9056,49.8952,5.0000,8.0000
53.3400,63.5000,21.7724,33.1122,11.0000,14.0000
30.4800,38.1000,15.8757,18.1437,15.0000,15.0000
54.6100,62.2300,19.0509,34.0194,11.0000,14.0000
38.1000,43.1800,11.7934,15.4221,12.0000,14.0000
60.9600,60.9600,27.2155,34.0194,10.0000,13.0000
58.4200,68.5800,20.4117,36.2874,12.0000,12.0000
48.2600,50.8000,18.1437,22.6796,12.0000,14.0000
22.8600,25.4000,3.6287,6.3503,10.0000,12.0000
40.6400,53.3400,18.1437,29.4835,11.0000,13.0000
62.2300,73.6600,34.9266,59.8742,10.0000,14.0000
48.2600,60.9600,18.1437,31.7515,12.0000,16.0000
43.1800,45.7200,15.8757,22.6796,12.0000,13.0000
40.6400,53.3400,14.9685,24.0404,12.0000,15.0000
39.3700,50.8000,9.0718,14.9685,13.0000,15.0000
55.8800,62.2300,27.2155,31.7515,8.0000,10.0000
27.9400,33.0200,12.7006,12.7006,10.0000,12.0000
54.6100,60.9600,22.6796,27.2155,10.0000,12.0000
55.8800,71.1200,24.9476,36.2874,12.0000,14.0000
43.1800,50.8000,11.3398,20.4117,12.0000,14.0000
55.8800,66.0400,22.6796,40.8233,7.0000,10.0000
53.3400,63.5000,20.4117,31.7515,10.0000,12.0000
30.4800,38.1000,10.8862,11.7934,13.0000,15.0000
55.8800,66.0400,22.6796,31.7515,14.0000,16.0000
59.6900,69.8500,24.9476,38.5554,12.0000,15.0000
31.7500,35.5600,14.5150,18.1437,10.0000,15.0000
54.6100,60.9600,24.9476,34.0194,10.0000,12.0000
58.4200,68.5800,20.4117,36.2874,12.0000,13.0000
39.3700,45.7200,18.1437,20.4117,13.0000,15.0000
71.1200,81.2800,49.8952,79.3787,7.0000,10.0000
63.5000,81.2800,38.5554,45.3592,10.0000,12.0000
59.6900,72.3900,38.5554,63.5029,8.0000,11.0000
68.5800,76.2000,27.2155,31.7515,10.0000,13.0000
48.2600,60.9600,18.1437,34.0194,14.0000,17.0000
48.2600,53.3400,35.8338,44.9056,10.0000,14.0000
48.2600,53.3400,20.4117,27.2155,12.0000,15.0000
21.5900,29.2100,3.1751,5.8967,14.0000,16.0000
45.7200,50.8000,19.9581,29.9371,12.0000,15.0000
58.4200,71.1200,29.4835,40.8233,10.0000,14.0000
57.1500,69.8500,20.4117,22.6796,11.0000,14.0000
41.9100,45.7200,11.3398,13.6078,12.0000,14.0000
57.1500,66.0400,15.8757,27.2155,11.0000,15.0000
63.5000,68.5800,27.2155,31.7515,12.0000,15.0000
45.7200,45.7200,11.3398,12.2470,13.0000,15.0000
53.3400,60.9600,20.4117,30.8443,12.0000,13.0000
76.2000,81.2800,47.6272,54.4311,6.0000,8.0000
33.0200,38.1000,3.1751,6.3503,14.0000,15.0000
33.0200,40.6400,7.7111,9.9790,10.0000,12.0000
20.3200,27.9400,3.1751,4.9895,10.0000,12.0000
30.4800,38.1000,4.5359,11.3398,12.0000,14.0000
45.7200,55.8800,13.6078,22.6796,14.0000,14.0000
39.3700,49.5300,9.0718,18.1437,12.0000,15.0000
48.2600,59.6900,19.9581,22.2260,11.0000,13.0000
43.1800,45.7200,15.8757,20.4117,12.0000,15.0000
44.4500,49.5300,14.9685,18.1437,12.0000,15.0000
43.1800,55.8800,13.6078,27.2155,11.0000,13.0000
64.7700,69.8500,36.2874,45.3592,10.0000,12.0000
38.1000,45.7200,9.0718,15.8757,13.0000,15.0000
66.0400,76.2000,31.7515,52.1631,10.0000,12.0000
54.6100,62.2300,24.9476,36.2874,10.0000,12.0000
40.6400,48.2600,10.8862,15.8757,15.0000,17.0000
35.5600,38.1000,7.7111,7.7111,12.0000,15.0000
25.4000,30.4800,4.0823,7.7111,12.0000,15.0000
45.7200,50.8000,31.7515,31.7515,10.0000,14.0000
64.7700,80.0100,40.8233,77.1107,9.0000,9.0000
25.4000,27.9400,5.4431,8.1647,12.0000,15.0000
27.9400,33.0200,4.5359,6.8039,15.0000,15.0000
17.7800,22.8600,3.1751,3.1751,12.0000,15.0000
38.1000,40.6400,5.4431,9.9790,15.0000,17.0000
25.4000,30.4800,5.4431,5.4431,15.0000,17.0000
69.8500,76.2000,54.4311,104.3262,6.0000,10.0000
33.0200,45.7200,9.0718,18.1437,12.0000,13.0000
25.4000,35.5600,8.1647,12.7006,11.0000,13.0000
25.4000,31.7500,3.6287,4.5359,12.0000,16.0000
30.4800,35.5600,4.9895,9.0718,12.0000,15.0000
40.6400,66.0400,13.6078,27.2155,10.0000,13.0000
38.1000,46.9900,8.1647,13.1542,12.0000,14.0000
60.9600,78.7400,49.8952,68.0389,7.0000,9.0000
35.5600,43.1800,9.0718,13.6078,12.0000,15.0000
66.0400,71.1200,45.3592,68.0389,9.0000,10.0000
22.8600,25.4000,4.9895,5.4431,12.0000,16.0000
41.9100,45.7200,9.0718,13.6078,14.0000,17.0000
40.6400,46.9900,11.7934,18.1437,12.0000,15.0000
49.5300,52.0700,21.7724,24.9476,12.0000,15.0000
30.4800,38.1000,9.0718,13.6078,12.0000,15.0000
25.4000,25.4000,5.4431,5.4431,12.0000,15.0000
43.1800,53.3400,15.8757,22.6796,12.0000,14.0000
53.3400,55.8800,27.2155,45.3592,10.0000,12.0000
60.9600,68.5800,36.2874,52.1631,10.0000,13.0000
20.3200,27.9400,2.2680,4.5359,14.0000,16.0000
33.0200,35.5600,5.8967,7.7111,13.0000,15.0000
15.2400,22.8600,6.3503,6.3503,12.0000,14.0000
25.4000,30.4800,12.7006,13.6078,12.0000,13.0000
55.8800,66.0400,38.1018,49.8952,9.0000,11.0000
24.7650,65.4050,3.8555,24.9476,12.0000,14.0000
33.0200,38.1000,11.3398,18.1437,12.0000,14.0000
53.3400,63.5000,20.4117,24.9476,12.0000,14.0000
50.8000,63.5000,18.1437,27.2155,12.0000,14.0000
58.4200,71.1200,20.4117,34.0194,12.0000,17.0000
43.1800,50.8000,13.6078,22.6796,12.0000,14.0000
15.2400,17.7800,1.3608,3.1751,12.0000,16.0000
25.4000,38.1000,4.5359,6.8039,10.0000,18.0000
38.1000,38.1000,18.1437,31.7515,10.0000,18.0000
25.4000,25.4000,1.8144,2.7216,10.0000,18.0000
55.8800,58.4200,24.9476,28.1227,12.0000,13.0000
40.6400,71.1200,15.8757,29.9371,10.0000,12.0000
20.3200,30.4800,4.0823,5.8967,12.0000,15.0000
52.0700,55.8800,15.8757,26.7619,14.0000,14.0000
41.9100,54.6100,17.0097,26.7619,12.0000,13.0000
43.1800,58.4200,15.8757,27.2155,11.0000,13.0000
55.8800,66.0400,20.4117,31.7515,14.0000,14.0000
25.4000,33.0200,6.3503,8.1647,13.0000,15.0000
40.6400,43.1800,11.3398,15.8757,10.0000,15.0000
38.1000,46.9900,9.9790,13.1542,12.0000,13.0000
63.5000,78.7400,54.4311,108.8622,10.0000,13.0000
38.1000,53.3400,6.8039,13.6078,0.0000,0.0000
63.5000,73.6600,34.9266,59.8742,12.0000,14.0000
25.4000,45.7200,4.5359,11.3398,12.0000,18.0000
53.3400,68.5800,20.4117,31.7515,12.0000,15.0000
60.9600,68.5800,31.7515,38.5554,10.0000,10.0000
57.1500,73.6600,45.3592,58.9670,12.0000,14.0000
55.8800,68.5800,36.2874,61.2350,9.0000,10.0000
25.4000,30.4800,4.0823,6.8039,12.0000,14.0000
20.3200,27.9400,2.9484,2.9484,12.0000,14.0000
22.8600,25.4000,2.0412,4.9895,12.0000,16.0000
66.0400,76.2000,54.4311,81.6466,8.0000,10.0000
58.4200,71.1200,18.1437,29.4835,10.0000,17.0000
48.2600,59.6900,15.8757,29.4835,12.0000,14.0000
40.6400,50.8000,11.7934,24.9476,12.0000,15.0000
25.4000,33.0200,4.5359,7.2575,12.0000,14.0000
71.1200,81.2800,34.0194,49.8952,8.0000,11.0000
25.4000,25.4000,8.1647,9.9790,12.0000,12.0000
26.6700,26.6700,10.4326,10.8862,12.0000,14.0000
48.2600,58.4200,18.1437,27.2155,11.0000,13.0000
33.0200,40.6400,6.8039,11.3398,12.0000,14.0000
34.2900,41.9100,7.7111,10.4326,13.0000,16.0000
22.8600,26.6700,4.0823,7.2575,10.0000,18.0000
43.1800,55.8800,15.8757,24.9476,10.0000,12.0000
50.8000,59.6900,15.8757,27.2155,12.0000,14.0000
22.8600,25.4000,4.5359,4.5359,13.0000,15.0000
24.1300,25.4000,15.8757,20.4117,12.0000,14.0000
60.9600,73.6600,15.8757,22.6796,10.0000,15.0000
57.1500,67.3100,22.6796,29.4835,12.0000,15.0000
58.4200,69.8500,30.8443,43.9985,11.0000,13.0000
40.6400,50.8000,14.9685,19.9581,12.0000,13.0000
52.0700,53.3400,18.1437,27.2155,12.0000,14.0000
38.1000,38.1000,6.8039,8.1647,12.0000,15.0000
43.1800,48.2600,13.6078,18.1437,12.0000,14.0000
71.1200,88.9000,63.5029,90.7185,10.0000,12.0000
40.0050,50.1650,14.0614,22.2260,12.0000,14.0000
55.8800,68.5800,0.0000,0.0000,10.0000,12.0000
48.2600,53.3400,18.1437,27.2155,13.0000,15.0000
35.5600,40.6400,10.8862,17.2365,12.0000,14.0000
44.4500,49.5300,13.6078,22.6796,13.0000,16.0000
33.0200,38.1000,15.8757,20.4117,13.0000,15.0000
40.6400,50.8000,13.6078,20.4117,12.0000,14.0000
29.2100,34.9250,9.0718,15.8757,12.0000,15.0000
43.1800,50.8000,11.7934,18.1437,9.0000,13.0000
20.3200,38.1000,3.6287,11.3398,14.0000,16.0000
50.8000,60.9600,15.8757,34.0194,12.0000,13.0000
60.9600,66.0400,31.7515,68.0389,10.0000,12.0000
25.4000,25.4000,4.0823,6.8039,12.0000,15.0000
35.5600,43.1800,8.1647,13.6078,15.0000,16.0000
58.4200,71.1200,28.1227,49.8952,12.0000,14.0000
54.6100,59.6900,45.3592,90.7185,10.0000,12.0000
21.5900,29.2100,1.5876,3.1751,13.0000,15.0000
55.8800,66.0400,24.9476,24.9476,10.0000,14.0000
40.6400,60.9600,13.6078,22.6796,10.0000,12.0000
50.8000,68.5800,22.6796,31.7515,12.0000,13.0000
53.3400,60.9600,19.9581,27.2155,12.0000,14.0000
58.4200,68.5800,24.9476,40.8233,10.0000,13.0000
43.1800,48.2600,15.8757,24.9476,12.0000,15.0000
38.1000,38.1000,9.0718,9.0718,12.0000,15.0000
25.4000,27.9400,6.8039,9.0718,13.0000,15.0000
12.7000,58.4200,22.6796,34.0194,13.0000,13.0000
45.7200,55.8800,11.3398,18.1437,12.0000,15.0000
38.1000,38.1000,6.8039,8.1647,12.0000,15.0000
50.8000,60.9600,15.8757,31.7515,12.0000,15.0000
54.6100,63.5000,20.4117,29.4835,12.0000,14.0000
48.2600,63.5000,12.7006,27.2155,12.0000,15.0000
25.4000,58.4200,4.5359,24.9476,13.0000,18.0000
53.3400,58.4200,18.1437,24.9476,10.0000,12.0000
17.7800,20.3200,3.1751,3.1751,11.0000,15.0000